county1,mi_to_county,county2
6053,76.51266074,6079
6055,25.73818163,6113
6055,26.70542354,6095
6055,33.51797074,6097
6057,16.33718652,6061
6057,23.64263357,6091
6057,30.57792821,6115
6057,112.3900426,32031
6059,73.26789845,6073
6059,102.0935632,6065
6059,122.3471756,6071
6061,36.2654888,6115
6061,52.61988317,6101
6061,52.88093804,32510
6061,53.81339204,6067
6061,60.78867217,32005
6061,125.4609669,32031
6063,33.19152288,6091
6063,57.1012353,6115
6063,74.72930442,6103
6063,82.94174744,6089
6065,66.14106377,6073
6065,78.56220176,6071
6067,34.28054966,6113
6067,34.83161448,6095
6067,35.77376349,6077
6067,44.90374774,6101
6069,53.8046747,6085
6069,58.06298439,6087
6071,114.4489786,32003
6075,42.13675397,6081
6077,29.66218765,6099
6079,62.99346811,6083
6081,34.26449748,6087
6081,39.7415716,6085
6083,53.03958797,6111
6085,22.61294291,6087
6085,44.53462606,6099
6089,44.93979079,6103
6089,56.62855105,6105
6089,62.58871372,6093
6091,48.74164371,6115
6091,88.85217918,32031
6093,57.38720073,41029
6093,71.66205894,6105
6093,77.59479899,41033
6093,88.30542799,41035
6095,28.53746811,6113
6095,57.45457962,6097
6099,64.94408352,6109
6101,25.14016819,6115
6101,26.85637962,6113
6103,58.76897606,6105
8001,15.87028225,8005
8001,30.14098369,8031
8001,38.55876648,8014
8001,38.5840095,8087
8001,47.16415181,8123
8001,52.46838086,8059
8001,59.80131437,8121
8003,28.14664056,8023
8003,32.50170047,8021
8003,36.89331712,8105
8003,40.76038781,8109
8003,46.05970694,8055
8005,25.72901202,8039
8005,30.28103551,8031
8005,38.57763638,8035
8005,48.80650604,8059
8005,62.95411999,8073
8005,63.55138356,8121
8007,31.70326336,8079
8007,38.22362677,8105
8007,43.7839677,8067
8007,45.87029174,8053
8007,48.1242083,8021
8007,51.76974208,35039
8007,85.06530996,35045
8009,37.88269983,40025
8009,40.75095109,20129
8009,44.77833253,20187
8009,45.93291474,8099
8009,52.60717788,8011
8009,76.61989911,35059
8009,82.91257386,8071
8011,35.24414691,8089
8011,36.05544989,8061
8011,37.39074184,8099
8011,67.76162284,8071
8013,17.56742144,8047
8013,20.76403731,8014
8013,36.04779249,8059
8013,36.91061607,8049
8013,39.50997335,8069
8013,62.22065732,8123
8014,27.35490336,8059
8014,54.54273261,8123
8015,32.25029388,8065
8015,41.3124975,8051
8015,41.58694175,8093
8015,46.16998035,8097
8015,48.81070683,8109
8015,52.1515157,8043
8017,31.94581029,8061
8017,32.47075078,8063
8017,45.27039672,20199
8017,49.5792333,20071
8017,49.76145709,8073
8019,14.05132094,8047
8019,23.71530317,8059
8019,25.27490065,8117
8019,37.5008147,8049
8019,39.49623942,8093
8021,24.19099352,8105
8021,41.35224254,8023
8021,53.11868153,35055
8021,56.41577931,35039
8023,38.27263901,8055
8023,49.79288554,35055
8023,63.29109848,35007
8023,76.16745237,8071
8025,30.46213196,8089
8025,39.51811067,8101
8025,48.81248795,8073
8025,53.07443858,8041
8025,56.06856413,8061
8027,24.57365823,8043
8027,36.43417679,8055
8027,47.72814398,8109
8027,48.25397841,8101
8029,33.88769597,8077
8029,37.70393401,8085
8029,44.40830149,8051
8031,22.8818336,8059
8033,18.93978761,8113
8033,28.52499221,8083
8033,47.03749541,8111
8033,49.43478345,8067
8033,69.37270904,49037
8035,24.76106855,8059
8035,34.27576822,8119
8035,40.57495833,8041
8035,43.21785284,8039
8037,29.56383209,8117
8037,30.92484305,8097
8037,34.68911423,8065
8037,46.48553488,8049
8037,60.89861003,8107
8037,64.80263927,8045
8039,39.36336118,8073
8039,39.97916689,8041
8041,35.3839493,8119
8041,45.42079001,8101
8041,54.65462522,8043
8041,56.02562625,8073
8043,31.52111002,8119
8043,48.52382982,8093
8043,53.42506014,8109
8043,54.20479231,8101
8045,30.06073971,8103
8045,49.76087904,8077
