county1,mi_to_county,county2,county_combined
06059,73.267898453637,06073,0605906073
06059,102.093563245536,06065,0605906065
06059,122.347175564013,06071,0605906071
06061,36.2654888031666,06115,0606106115
06061,52.6198831707286,06101,0606106101
06061,52.8809380354358,32510,0606132510
06061,53.8133920355971,06067,0606106067
06061,60.7886721687569,32005,0606132005
06061,125.460966884889,32031,0606132031
06063,33.1915228760141,06091,0606306091
06063,57.1012353012423,06115,0606306115
06063,74.7293044245862,06103,0606306103
06063,82.9417474421751,06089,0606306089
06065,66.1410637742653,06073,0606506073
06065,78.5622017642861,06071,0606506071
06067,34.2805496639787,06113,0606706113
06067,34.8316144816461,06095,0606706095
06067,35.7737634906726,06077,0606706077
06067,44.9037477366745,06101,0606706101
06069,53.804674695078,06085,0606906085
06069,58.0629843893863,06087,0606906087
06071,114.448978580183,32003,0607132003
06075,42.1367539661134,06081,0607506081
06077,29.6621876537792,06099,0607706099
06079,62.9934681083341,06083,0607906083
06081,34.2644974804248,06087,0608106087
06081,39.7415715984402,06085,0608106085
06083,53.0395879739627,06111,0608306111
06085,22.6129429130615,06087,0608506087
06085,44.5346260617017,06099,0608506099
06089,44.9397907939231,06103,0608906103
06089,56.6285510479573,06105,0608906105
06089,62.5887137194569,06093,0608906093
06091,48.7416437073088,06115,0609106115
06091,88.85217917884,32031,0609132031
06093,57.3872007307285,41029,0609341029
06093,71.6620589389551,06105,0609306105
06093,77.5947989852888,41033,0609341033
06093,88.3054279873649,41035,0609341035
06095,28.5374681116103,06113,0609506113
06095,57.454579622269,06097,0609506097
06099,64.9440835183357,06109,0609906109
06101,25.1401681913022,06115,0610106115
06101,26.8563796157718,06113,0610106113
06103,58.7689760581282,06105,0610306105
08001,15.8702822537941,08005,0800108005
08001,30.1409836940491,08031,0800108031
08001,38.5587664840885,08014,0800108014
08001,38.5840095027723,08087,0800108087
08001,47.1641518056623,08123,0800108123
08001,52.468380857539,08059,0800108059
08001,59.8013143690416,08121,0800108121
08003,28.146640557539,08023,0800308023
08003,32.5017004680141,08021,0800308021
08003,36.8933171208779,08105,0800308105
08003,40.7603878107471,08109,0800308109
08003,46.0597069392506,08055,0800308055
08005,25.7290120241775,08039,0800508039
08005,30.2810355140856,08031,0800508031
08005,38.577636378077,08035,0800508035
08005,48.8065060440664,08059,0800508059
